,a_mean,a_std,user_0,user_1
1000,0.29523686,0.15291706,0.4481539,0.14231978
2000,0.18416443,0.12190667,0.3060711,0.062257767
3000,0.24065255,0.19345851,0.43411106,0.047194034
4000,0.22137585,0.21459469,0.43597054,0.006781161
5000,0.2699105,0.1708574,0.4407679,0.099053115
6000,0.25286663,0.1057947,0.35866132,0.14707193
7000,0.28199586,0.15019158,0.43218744,0.1318043
8000,0.25240535,0.21553026,0.46793562,0.0368751
9000,0.15620959,0.13955349,0.29576308,0.0166561
10000,0.15201837,0.11999136,0.27200973,0.032027006
11000,0.33474392,0.005297154,0.34004107,0.32944676
12000,0.19989616,0.03319428,0.23309045,0.16670188
13000,0.28887022,0.019455507,0.3083257,0.2694147
14000,0.3660129,0.0033620298,0.36265087,0.36937493
15000,0.3850913,0.023390532,0.40848184,0.36170077
16000,0.28986698,0.007287428,0.28257954,0.2971544
17000,0.24047026,0.05117601,0.29164627,0.18929425
18000,0.3244571,0.07626034,0.24819675,0.40071744
19000,0.2491468,0.031120405,0.2180264,0.2802672
20000,0.26999998,0.07745975,0.19254023,0.34745973
21000,0.38596988,0.14324248,0.52921236,0.2427274
22000,0.3644392,0.030320525,0.3947597,0.33411866
23000,0.2132059,0.05480101,0.26800692,0.1584049
24000,0.21791324,0.105367035,0.32328027,0.112546206
25000,0.30185187,0.19935054,0.5012024,0.10250133
26000,0.1776336,0.091286495,0.2689201,0.0863471
27000,0.15296197,0.11965421,0.27261618,0.03330776
28000,0.2692665,0.079018526,0.19024797,0.34828502
29000,0.21511437,0.047505125,0.16760924,0.2626195
30000,0.30451643,0.07777207,0.22674437,0.38228852
31000,0.26254356,0.084509335,0.17803423,0.3470529
32000,0.32719094,0.018761188,0.34595212,0.30842975
33000,0.26987496,0.09336654,0.17650841,0.3632415
34000,0.2587366,0.053867623,0.31260425,0.204869
35000,0.21975115,0.0524157,0.27216685,0.16733545
36000,0.23641695,0.13059814,0.3670151,0.10581881
37000,0.16435263,0.084230654,0.24858327,0.080121964
38000,0.2016252,0.052630447,0.25425565,0.14899476
39000,0.32277554,0.09069134,0.23208418,0.41346687
40000,0.24498664,0.008188203,0.23679844,0.25317484
41000,0.24488708,0.012619354,0.23226772,0.25750643
42000,0.23139268,0.048112504,0.18328018,0.2795052
43000,0.27551305,0.04045184,0.23506123,0.3159649
44000,0.28308684,0.020764813,0.262322,0.30385163
45000,0.2994371,0.0151542425,0.31459135,0.28428286
46000,0.18691666,0.073088035,0.2600047,0.11382863
47000,0.2275596,0.059846677,0.28740627,0.16771291
48000,0.24276978,0.040191926,0.20257784,0.2829617
49000,0.36295995,0.09588978,0.45884973,0.26707017
50000,0.23786171,0.047765717,0.28562742,0.19009599
51000,0.31398046,0.008880615,0.32286108,0.30509984
52000,0.24841711,0.024203084,0.22421403,0.2726202
53000,0.26265752,0.00041027367,0.2630678,0.26224726
54000,0.3434126,0.036289006,0.3071236,0.3797016
55000,0.2773674,0.027428314,0.30479574,0.24993911
56000,0.23410222,0.035259686,0.2693619,0.19884254
57000,0.3176083,0.066587076,0.25102124,0.3841954
58000,0.30838972,0.1026193,0.411009,0.20577042
59000,0.3101149,0.10595665,0.41607153,0.20415823
60000,0.19943166,0.004420884,0.20385255,0.19501078
61000,0.25339562,0.061190985,0.3145866,0.19220464
62000,0.24355915,0.029595137,0.2731543,0.21396402
63000,0.30094075,0.040323034,0.26061773,0.3412638
64000,0.37829655,0.038011327,0.34028524,0.4163079
65000,0.33931416,0.033732772,0.3055814,0.37304693
66000,0.29376438,0.021786988,0.2719774,0.31555137
67000,0.23979825,0.015789859,0.2240084,0.2555881
68000,0.3043299,0.09274887,0.21158104,0.39707878
69000,0.3689592,0.03496261,0.4039218,0.3339966
70000,0.24072854,0.09422146,0.14650708,0.33495
71000,0.43079773,0.106557995,0.5373557,0.32423973
72000,0.2796405,0.01057373,0.29021424,0.26906678
73000,0.28333902,0.02648151,0.30982053,0.2568575
74000,0.36388665,0.010164142,0.3537225,0.3740508
75000,0.28035653,0.02651994,0.30687648,0.2538366
76000,0.2831143,0.040052295,0.3231666,0.24306202
77000,0.37222,0.007771224,0.37999123,0.3644488
78000,0.19766812,0.102720186,0.094947934,0.3003883
79000,0.2825126,0.05181597,0.23069665,0.3343286
80000,0.34205124,0.09527106,0.24678017,0.4373223
81000,0.2707022,0.056944527,0.32764673,0.21375768
82000,0.28023443,0.039363556,0.319598,0.24087088
83000,0.26934817,0.04210326,0.31145144,0.22724491
84000,0.25848243,0.04110702,0.29958946,0.21737541
85000,0.2750115,0.076033026,0.35104454,0.19897848
86000,0.33723992,0.16550411,0.502744,0.1717358
87000,0.18208176,0.034697004,0.14738475,0.21677876
88000,0.21784444,0.033616588,0.25146103,0.18422785
89000,0.2641145,0.09819162,0.1659229,0.36230612
90000,0.24268019,0.089188464,0.15349172,0.33186865
91000,0.22149253,0.13632444,0.08516809,0.35781696
92000,0.31608483,0.08238711,0.23369773,0.39847195
93000,0.34291452,0.12089904,0.2220155,0.46381357
94000,0.22005223,0.03233601,0.18771622,0.25238824
95000,0.2632209,0.045282066,0.21793884,0.30850297
96000,0.23262069,0.0315136,0.20110708,0.2641343
97000,0.2642586,0.009893,0.2741516,0.2543656
98000,0.29058042,0.00045219064,0.2910326,0.29012823
99000,0.22467437,0.019768022,0.20490634,0.24444239
100000,0.33063924,0.0795065,0.25113276,0.41014576
101000,0.24965191,0.02022355,0.22942837,0.26987547
102000,0.25357413,0.0901795,0.16339463,0.34375364
103000,0.30368415,0.026308328,0.27737582,0.32999247
104000,0.29743636,0.035464242,0.2619721,0.33290058
105000,0.26502112,0.050334364,0.21468675,0.31535548
106000,0.34814888,0.05509557,0.29305333,0.40324447
107000,0.2708925,0.060335264,0.21055722,0.33122775
108000,0.3473134,0.068594456,0.27871895,0.41590786
109000,0.19276905,0.066941164,0.1258279,0.25971022
110000,0.19545275,0.007209651,0.20266241,0.1882431
111000,0.32459226,0.07732108,0.24727118,0.40191334
112000,0.35397297,0.11577022,0.23820275,0.4697432
113000,0.28117818,0.067583784,0.2135944,0.34876198
114000,0.23856843,0.049493022,0.1890754,0.28806144
115000,0.2893934,0.020733744,0.26865965,0.31012714
116000,0.19618133,0.11655533,0.31273666,0.079625994
